token,count
"2019",4
"Eye: Combined form of age-related cataract",4
"ENT: Acute pharyngitis",4
"Genitourinary and Reproductive: Acute renal failure (ARF)",4
"ENT: Viral upper respiratory tract infection",4
"Graves' disease",4
"Gilbert's syndrome",4
"unspecified back pain laterality",4
"stage unspecified",4
"Parathyroid adenoma",4
"Elevated glucose",4
"Musculoskeletal and Injuries: Spondylolisthesis at L4-L5 level",4
"Musculoskeletal and Injuries: Localized",4
"Eosinophilic esophagitis",4
"Gastrointestinal and Abdominal: Elevation of levels of liver transaminase levels",4
"Eye: Glaucoma of both eyes",4
"Genitourinary and Reproductive: Impotence",4
"Endocrine and Metabolic: Type 1 diabetes mellitus without complications",4
"Lumbar facet joint pain",4
"Tear of lateral meniscus of knee",4
"Tension-type headache",4
"Musculoskeletal and Injuries: Chronic arthritis",4
"Gastrointestinal and Abdominal: Ileostomy in place",4
"Social: Elderly person living alone",4
"P TAH-BSO",4
"Gastrointestinal and Abdominal: Hematochezia",4
"Eye: Allergic conjunctivitis",4
"Renal cell carcinoma",4
"Gastrointestinal and Abdominal: Fatty (change of) liver",4
"Presence of right artificial knee joint",4
"Eye: No diabetic retinopathy in both eyes",4
"Alcohol dependence",4
"Other: Mild early onset Alzheimer's dementia without behavioral disturbance",4
"Tobacco: Smoking addiction",4
"Myelodysplastic syndrome",4
"Low magnesium level",4
"Rotator cuff tear arthropathy of right shoulder",4
"Adhesive capsulitis of left shoulder",4
"Cardiac and Vasculature: Bifascicular block",4
"Endocrine and Metabolic: Unexplained weight loss",4
"Other fecal abnormalities",4
"Wolff-Parkinson-White syndrome",4
"Lumbar facet arthropathy",4
"BMI 21.0-21.9",4
"Non-recurrent bilateral inguinal hernia without obstruction or gangrene",4
"Musculoskeletal and Injuries: Primary osteoarthritis",4
"Skin: OM (onychomycosis)",4
"Musculoskeletal and Injuries: Acute medial meniscus tear of left knee",4
"Gastrointestinal and Abdominal: Umbilical hernia",4
"Musculoskeletal and Injuries: Age related osteoporosis",4
"Malignant neoplasm of urinary bladder",4
"Genitourinary and Reproductive: History of cervical dysplasia",4
"C4-5",4
"Atrial contractions",4
"Gastrointestinal and Abdominal: Lactose intolerance",4
"Seronegative rheumatoid arthritis",4
"Osteoarthritis of both hands",4
"Malignant (primary) neoplasm",4
"Cardiac and Vasculature: Atherosclerotic heart disease of native coronary artery without angina pectoris",4
"SAH (subarachnoid hemorrhage)",4
"Gastrointestinal and Abdominal: Pancreatitis (HHS-HCC)",4
"Class 3 severe obesity in adult (CMS-HCC)",4
"Pancreatic insufficiency (HHS-HCC)",4
"Symptoms and Signs: High thyroid stimulating hormone (TSH) level",4
"Varicose veins of other specified sites",4
"Hematology and Neoplasia: Monoclonal gammopathy",4
"Coronary atherosclerosis due to calcified coronary lesion of native artery",4
"Arthralgia",4
"Dementia without behavioral disturbance (CMS-HCC)",4
"Gastrointestinal and Abdominal: Bilateral inguinal hernia",4
"Diabetic peripheral neuropathy associated with type 2 diabetes mellitus",4
"Sleep: Sleep disorder",4
"Neuro: Foot drop",4
"Paraplegia",4
"Varicose veins of lower extremities with inflammation",4
"Lipoma",4
"Genitourinary and Reproductive: Chronic renal failure",4
"Hematology and Neoplasia: History of lung cancer",4
"Gastrointestinal and Abdominal: Screen for colon cancer",4
"Atherosclerosis of coronary artery bypass graft",4
"Abnormal weight gain",4
"Chronic pancreatitis",4
"Congenital aortic stenosis (HHS-HCC)",4
"Cardiac and Vasculature: Heart failure",4
"Gastrointestinal and Abdominal: Acute appendicitis",4
"Chronic obstructive pulmonary disease (COPD)",4
"unspecified part of lung",4
"Cardiac and Vasculature: Acute chest pain",4
"Lumbar strain",4
"Rotator cuff arthropathy of right shoulder",4
"Multi System Lupus Sarcoid: Hypogammaglobulinemia (HHS-HCC)",4
"Symptoms and Signs: Tingling of skin",4
"Type II or unspecified type diabetes mellitus without mention of complication",4
"Other: Acute medial meniscus tear of left knee",4
"Elevated blood pressure reading",4
"Musculoskeletal and Injuries: Polyarthropathy",4
"Eye: Nonproliferative diabetic retinopathy associated with type 2 diabetes mellitus",4
"Cardiac and Vasculature: Complete heart block",4
"Cardiac and Vasculature: Congestive heart failure",4
"P AAA repair",4
"postoperative",4
"COPD with acute exacerbation",4
"Other: Aneurysm of descending thoracic aorta without rupture (CMS-hcc)",4
"Other: Chronic obstructive pulmonary disease with emphysema",4
"Cardiac and Vasculature: Abnormal findings on diagnostic imaging of heart",4
"Hepatitis",4
"Pain of right shoulder region",4
"Postmenopausal",4
"Cardiac and Vasculature: Chronic systolic congestive heart failure",4
"Other: Parkinson's disease without dyskinesia",4
"Acute left-sided CHF (congestive heart failure)",4
"Ulcerative colitis without complications",4
"SUI (stress urinary incontinence",4
"Osteopenia of neck of left femur",4
"3",4
"Myeloproliferative disorder",4
"Eye: Nuclear sclerosis",4
"Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side",4
"Epiretinal membrane (ERM) of both eyes",4
"History of depression",4
"Cardiac and Vasculature: Left bundle branch block (LBBB)",4
"Mild cognitive disorder",4
"Coag and Thromboembolic: Deep vein thrombosis (DVT) of non-extremity vein",4
"Skin: Numerous moles",4
"Dyspareunia",4
"multiple",4
"Cardiac and Vasculature: Acute systolic heart failure",4
"Acute cough",4
"Genitourinary and Reproductive: Elevated prostate specific antigen (PSA)",4
"Musculoskeletal and Injuries: Critical illness myopathy",4
"Cardiac and Vasculature: Coronary artery disease involving native coronary artery without angina pectoris",4
"Malignant neoplastic disease",4
"Endocrine and Metabolic: Class 3 severe obesity with serious comorbidity and body mass index (BMI) of 40.0 to 44.9 in adult (CMS-HCC)",4
"History of pulmonary embolus (PE)",4
"Chronic diastolic CHF (congestive heart failure)",4
"Gastrointestinal and Abdominal: NASH (nonalcoholic steatohepatitis)",4
"Musculoskeletal and Injuries: Trigger thumb of right hand",4
"Bilateral leg edema",4
"Symptoms and Signs: Intercostal pain",4
"Infectious Disease: History of shingles",4
"Diabetic polyneuropathy",4
"Moderate persistent asthma (HHS-HCC)",4
"Endocrine and Metabolic: Diabetes mellitus type 2",4
"without complications",4
"Infectious Disease: Parent refuses immunizations",4
"without rupture (CMS-hcc)",4
"Coag and Thromboembolic: History of DVT of lower extremity",4
"Coronary artery disease involving coronary bypass graft of native heart",4
"Endocrine and Metabolic: Folic acid deficiency",4
"P aortic valve replacement",4
"Endocrine and Metabolic: Disease of thyroid gland",4
"Musculoskeletal and Injuries: Chronic low back pain without sciatica",4
"Advanced care planning",4
"Post-op pain",4
"Neuro: Displacement of lumbar intervertebral disc without myelopathy",4
"Spondylosis of lumbosacral spine without myelopathy",4
"Tobacco: Nicotine dependence with current use",4
"Wears hearing aid in both ears",4
"Musculoskeletal and Injuries: Bunion of great toe of right foot",4
"Chronic low back pain with sciatica",4
"NICM (nonischemic cardiomyopathy)",4
"Gastrointestinal and Abdominal: Benign neoplasm of sigmoid colon",4
"2026",4
"Asymptomatic bilateral carotid artery stenosis",4
"Tendinitis of right rotator cuff",4
"Bell's palsy",4
"Osteoarthritis of spine with radiculopathy",4
"Acute myocardial infarction",4
"Gastrointestinal and Abdominal: Benign neoplasm of ascending colon",4
"Right foot drop",4
"Sinus pause",4
"Squamous cell skin cancer",4
"Cardiac and Vasculature: Precordial pain",4
"Genitourinary and Reproductive: Hypovolemia dehydration",4
"Pulmonary and Pneumonias: Subacute cough",4
"Endocrine and Metabolic: Class 3 severe obesity due to excess calories with body mass index (BMI) of 40.0 to 44.9 in adult (CMS-HCC)",4
"Pulmonary and Pneumonias: Wheezing",4
"Cough variant asthma (HHS-HCC)",4
"Hematology and Neoplasia: Secondary polycythemia",4
"Normal pressure hydrocephalus",4
"Genitourinary and Reproductive: Hypercalciuria",4
"Cardiac and Vasculature: Mitral valve disease",4
"History of angina",4
"Metatarsalgia",4
"ENT: URI (upper respiratory infection)",4
"Eye: Posterior vitreous detachment of both eyes",4
"Gastrointestinal and Abdominal: Cyst of pancreas (HHS-HCC)",4
"Major depression",4
"History of Roux-en-Y gastric bypass",4
"with active choroidal neovascularization",4
"5",4
"Generalized atherosclerosis",4
"Genitourinary and Reproductive: Menopause present",4
"Left ventricular thrombus",4
"Musculoskeletal and Injuries: Tear of medial meniscus of left knee",4
"Hand pain",4
"Renal failure",4
"Subclavian vein stenosis",4
"Tricuspid valve disorder",4
"Genitourinary and Reproductive: ESRD (end stage renal disease)",4
"Secondary esophageal varices without bleeding",4
"Neuro: Polyneuropathy",4
"Genitourinary and Reproductive: Gynecomastia",4
"Musculoskeletal and Injuries: Acute low back pain",4
"Gallstones",4
"Cardiac and Vasculature: Atrial premature depolarization",4
"Mixed incontinence",4
"Chronic hyponatremia",4
"Mental Health: MDD (major depressive disorder)",4
"colon",4
"Endocrine and Metabolic: H",4
"Endocrine and Metabolic: BMI 23.0-23.9",4
"Unspecified atrial fibrillation",4
"Pneumothorax",4
"Preoperative clearance",4
"Hematology and Neoplasia: Positive colorectal cancer screening using DNA-based stool test",4
"Genitourinary and Reproductive: Benign localized hyperplasia of prostate with urinary retention",4
"Primary cardiomyopathy",4
"abdominal (CMS-hcc)",4
"Lower urinary tract symptoms",4
"Coag and Thromboembolic: Acute pulmonary embolism without acute cor pulmonale",4
"Bruising",4
"Skin: Dry skin",4
"Esophageal obstruction",4
"Loose stools",4
"Scotoma involving central area in visual field",4
"Cardiac and Vasculature: Raynaud's disease without gangrene",4
"Cardiac and Vasculature: Heart disease",4
"Status post carotid endarterectomy",4
"Deep vein thrombosis (DVT) of proximal lower extremity",4
"Lumbar stenosis without neurogenic claudication",4
"Weakness of right lower extremity",4
"Low testosterone",4
"Eczema",4
"Cardiac and Vasculature: SOB (shortness of breath) on exertion",4
"Alcoholic cirrhosis of liver with ascites",4
"Head and neck cancer",4
"Eye: Scotoma involving central area of both eyes",4
"Musculoskeletal and Injuries: Pain in joint",4
"multiple sites",4
"Cardiac and Vasculature: Coronary artery disease without angina pectoris",4
"23",4
"Hematology and Neoplasia: Bicytopenia",4
"Secondary polycythemia",4
"Cardiac defibrillator in place",4
"Eye: Nonexudative age-related macular degeneration",4
"Nonproliferative diabetic retinopathy",4
"Gastrointestinal and Abdominal: Autoimmune hepatitis",4
"Atherosclerosis of abdominal aorta",4
"Myasthenia gravis",4
"Impingement syndrome of shoulder region",4
"Metatarsalgia of right foot",4
"Arthritis of right shoulder region",4
"Eye: Retinal detachment",4
"Gastrointestinal and Abdominal: Pancreatic cyst (HHS-HCC)",4
"Other: Implantable loop recorder present",4
"Hematology and Neoplasia: History of colon cancer",4
"Cardiac and Vasculature: Aortic valve disorder",4
"Hematology and Neoplasia: History of basal cell cancer",4
"iron deficiency",4
"Pulmonary and Pneumonias: Pulmonary edema",4
"Endocrine and Metabolic: Adrenal nodule (HHS-HCC)",4
"Musculoskeletal and Injuries: Rotator cuff arthropathy of right shoulder",4
"Acute pneumonia",4
"Neuro: Migraine with aura and without status migrainosus",4
"Encounter for urinary catheter",4
"Chronic left-sided low back pain with left-sided sciatica",4
"Macular drusen",4
"Endocrine and Metabolic: Type 2 diabetes mellitus with diabetic nephropathy",4
"Bursitis of right shoulder",4
"Symptoms and Signs: Syncopal episodes",4
"Mild anemia",4
"ADHD",4
"Hematology and Neoplasia: Hepatocellular carcinoma",4
"Musculoskeletal and Injuries: Degenerative joint disease (DJD) of hip",4
"Infectious Disease: Need for influenza vaccination",4
"Cardiac and Vasculature: Non-ischemic cardiomyopathy",4
"BMI 32.0-32.9",4
"Gastrointestinal and Abdominal: Change in bowel habits",4
"Eye: Diabetic retinopathy associated with type 2 diabetes mellitus",4
"History of kidney transplant (HHS-HCC)",4
"Screening for AAA (abdominal aortic aneurysm)",4
"Hematology and Neoplasia: Family history of malignant neoplasm of colon",4
"Mild tricuspid valve regurgitation",4
"History of stroke without residual deficits",4
"Type 2 diabetes mellitus with complication",4
"Comprehensive diabetic foot examination",4
"type 2 DM",4
"Ulcerated",4
"Ankle fracture",4
"ENT: Jaw pain",4
"Hematology and Neoplasia: Malignant neoplasm of upper-inner quadrant of left breast in female",4
"Neuropathy",4
"Genitourinary and Reproductive: Proteinuria",4
"Chronic heart failure",4
"Attention deficit hyperactivity disorder (ADHD)",4
"Gastrointestinal and Abdominal: Adenomatous polyp of descending colon",4
"Pulmonary and Pneumonias: Community acquired pneumonia of right lower lobe of lung",4
"Acute on chronic systolic congestive heart failure",4
"Other: Monoclonal gammopathy of undetermined significance (MGUS)",4
"Alcohol use",4
"unspecified fracture morphology",4
"Morbid obesity with body mass index (BMI) of 40.0 or higher (CMS-HCC)",4
"Loss of sense of smell",4
"Symptoms and Signs: History of syncope",4
"heterozygous (HHS-HCC)",4
"Combined systolic and diastolic congestive heart failure",4
"Neuro: Peripheral nerve disease",4
"Musculoskeletal and Injuries: Ganglion cyst",4
"Pain in toe of left foot",4
"Onychodystrophy",4
"Hematology and Neoplasia: Cancer of breast",4
"Bariatric surgery status",4
"Cerebrovascular accident",4
"Eye: Ptosis of eyelid",4
"Genitourinary and Reproductive: Menopausal syndrome",4
"Other specified disease of esophagus",4
"Musculoskeletal and Injuries: Right leg pain",4
"Mental Health: Alcohol intake above recommended sensible limits",4
"Musculoskeletal and Injuries: Tear of meniscus of knee",4
"Bilateral epiphora",4
"ERRONEOUS ENCOUNTER--DISREGARD",4
"Pulmonary and Pneumonias: ILD (interstitial lung disease)",4
"Gastrointestinal and Abdominal: Cholelithiasis without obstruction",4
"Asymptomatic PVCs",4
"Gastrointestinal and Abdominal: Cirrhosis of liver",4
"Genitourinary and Reproductive: Acute urinary retention",4
"Advance care planning",4
"Presbyesophagus",4
"RUQ pain",4
"Symptoms and Signs: Lower extremity edema",4
"Family history of cardiovascular disease",4
"Community acquired pneumonia",4
"Symptoms and Signs: Balance disorder",4
"Neuro: Subdural hemorrhage",4
"Compression fracture of body of thoracic vertebra",4
"Musculoskeletal and Injuries: Arthritis of left shoulder region",4
"Hematology and Neoplasia: Neoplasm of uncertain behavior of skin",4
"oth extrm",4
"Essential thrombocythemia",4
"Genitourinary and Reproductive: Left renal mass",4
"P TAH (total abdominal hysterectomy)",4
"Skin: Acne",4
"Infectious Disease: Disease due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)",4
"Hematology and Neoplasia: Malignant neoplasm of overlapping sites of left breast in female",4
"Musculoskeletal and Injuries: Arthralgia of right knee",4
"Hypertensive urgency",4
"Hematology and Neoplasia: History of malignant neoplasm of uterine body",4
"Neuro: Cervical disc disorder with radiculopathy",4
"Tobacco: Former cigar smoker",4
"Rhinitis",4
"Disorder of intervertebral disc of lumbar spine",4
"Mental Health: Uncomplicated alcohol dependence",4
"Acute postoperative pain",4
"Delirium",4
"Left lower quadrant pain",4
"LITA TO LAD",4
"Endocrine and Metabolic: BMI 30.0-30.9",4
"Symptoms and Signs: Cervical lymphadenopathy",4
"Crohn's disease",4
"Symptoms and Signs: Excessive sweating",4
"Aneurysm of infrarenal abdominal aorta",4
"Endocrine and Metabolic: Diabetes 1.5",4
"unspecified tear type",4
"Coag and Thromboembolic: Phlebitis",4
"Hernia of abdominal wall",4
"Ventricular ectopy",4
"Automatic implantable cardiac defibrillator in situ",4
"Spider veins of both lower extremities",4
"Musculoskeletal and Injuries: Rheumatoid disease",4
"Musculoskeletal and Injuries: Acquired hammer toe of left foot",4
"Familial combined hyperlipidemia",4
"Skin: Epidermoid cyst of skin",4
"Toe pain",4
"Other: Acute heart failure with reduced ejection fraction (HFrEF",4
"Eye: Mild nonproliferative diabetic retinopathy of both eyes without macular edema associated with type 2 diabetes mellitus",4
"Atopic dermatitis",4
"Intervertebral disc disorder of lumbar region with myelopathy",4
"Infectious Disease: COVID-19 determined by clinical diagnostic criteria",4
"Genitourinary and Reproductive: Acute kidney failure",4
"Eye: Ocular hypertension",4
"Non-rheumatic mitral valve disease",4
"Cardiac and Vasculature: Stenosis of right carotid artery",4
"Nuclear senile cataract",4
"BPH without obstruction",3
"Pulmonary and Pneumonias: Mild pulmonary hypertension",3
"Asbestosis",3
"BPH associated with nocturia",3
"Normochromic normocytic anemia",3
"Occasional tremors",3
"Medicare annual wellness visit",3
"initial",3
"Pain in joint",3
"Chronic pain of right ankle",3
"musculoskeletal",3
"Eye: Senile cataract",3
"Paraesophageal hernia",3
"Astigmatism of both eyes with presbyopia",3
"Tobacco: Never used tobacco",3
"DM type 2 with diabetic mixed hyperlipidemia",3
"site not specified",3
"Hematology and Neoplasia: History of cervical cancer",3
"Benign neoplasm of transverse colon",3
"Family history of malignant neoplasm of digestive organs",3
"Basal cell carcinoma of nose",3
"Bilateral sacroiliitis (CMS-hcc)",3
"MCI (mild cognitive impairment)",3
"Acute kidney injury superimposed on chronic kidney disease",3
"Gastrointestinal and Abdominal: Abdominal distention",3
"ENT: Vestibular schwannoma",3
"Familial hypercholesteremia",3
"Costochondritis",3
"Cervicogenic headache",3
"Infectious Disease: Cellulitis of lower limb",3
"Calcification of abdominal aorta",3
"Colonic mass",3
"Musculoskeletal and Injuries: Inflammatory polyarthropathy",3
"Hypertensive crisis",3
"Neuro: SAH (subarachnoid hemorrhage)",3
"Musculoskeletal and Injuries: Inflammatory arthritis",3
"Neuro: Dementia with behavioral disturbance (CMS-HCC)",3
"Lichen planus",3
"Gastrointestinal and Abdominal: Screening for colon cancer",3
"Genitourinary and Reproductive: Ureterolithiasis",3
"Musculoskeletal and Injuries: Bunion",3
"Fever and chills",3
"Endocrine and Metabolic: BMI 29.0-29.9",3
"Miscellaneous: History of loop recorder",3
"Neuro: Sensory neuropathy",3
"Sleep: Persistent insomnia",3
"Gastrointestinal and Abdominal: Unilateral inguinal hernia",3
"Pain of both hip joints",3
"Endocrine and Metabolic: Elevated fasting glucose",3
"Allergic conjunctivitis",3
"VSD (ventricular septal defect) (HHS-HCC)",3
"Acute decompensated heart failure",3
"Acute deep vein thrombosis (DVT) of calf muscle vein of right lower extremity",3
"Mobitz type 2",3
"Acute deep vein thrombosis (DVT) of femoral vein of right lower extremity",3
"Secondary hyperparathyroidism of renal origin (HHS-HCC)",3
"Internal hemorrhoid",3
"bleeding",3
"Tachyarrhythmia",3
"Reflux esophagitis",3
"Infectious Disease: Influenza",3
"Neuro: Lumbar disc disease",3
"Pneumonia of both lower lobes",3
"Endocrine and Metabolic: Class 1 obesity due to excess calories without serious comorbidity with body mass index (BMI) of 30.0 to 30.9 in adult",3
"Multi System Lupus Sarcoid: Sicca syndrome (HHS-HCC)",3
"Genitourinary and Reproductive: History of bilateral mastectomy",3
"Abscess",3
"Genitourinary and Reproductive: Cystitis",3
"Symptoms and Signs: Chronic fatigue syndrome",3
"Prostate cancer screening",3
"Other osteoporosis without current pathological fracture",3
"CAP (community acquired pneumonia)",3
"Right rotator cuff tear",3
"bilateral (CMS-hcc)",3
"Celiac artery stenosis (CMS-hcc)",3
"Hematology and Neoplasia: Malignant neoplasm of right breast",3
"Eye: Primary open-angle glaucoma",3
"Neuro: S",3
"Endocrine and Metabolic: Class 1 obesity due to excess calories with serious comorbidity and body mass index (BMI) of 31.0 to 31.9 in adult",3
"Hematology and Neoplasia: Normochromic normocytic anemia",3
"except renal pelvis",3
"Infectious Disease: History of herpes zoster",3
"medicaments and biological substances",3
"Primary localized osteoarthritis of right knee",3
"Occlusion and stenosis of carotid artery without mention of cerebral infarction",3
"Mental Health: History of alcohol abuse",3
"Genitourinary and Reproductive: Unspecified urinary incontinence",3
"O tricuspid valve repair",3
"Achalasia of esophagus",3
"Occult blood in stools",3
"P prostatectomy",3
"Cardiac and Vasculature: NSVT (nonsustained ventricular tachycardia)",3
"Obstructive hypertrophic cardiomyopathy",3
"Cardiac arrest",3
"Cortical age-related cataract",3
"Dermatochalasis of right upper eyelid",3
"Intermittent palpitations",3
"Renal impairment",3
"Polyp of corpus uteri",3
"Fibrocystic disease of breast",3
"Genitourinary and Reproductive: Bilateral renal cysts",3
"Heart block AV second degree",3
"Hematology and Neoplasia: Anemia associated with acute blood loss",3
"PCOS (polycystic ovarian syndrome)",3
"Genitourinary and Reproductive: Postmenopausal HRT (hormone replacement therapy)",3
"Arthritis of carpometacarpal (CMC) joint of both thumbs",3
"Status post right knee replacement",3
"Renal calculus",3
"Family History: Healthcare maintenance",3
"Retinal tear",3
"Acute stroke due to ischemia",3
"Allergies and Adverse Reactions: Adverse effect of angiotensin-converting enzyme inhibitor",3
"Musculoskeletal and Injuries: Ankylosing spondylitis",3
"Right thyroid nodule",3
"anterior",3
"Eye: Myopia with presbyopia",3
"Musculoskeletal and Injuries: Acute pain of right knee",3
"Musculoskeletal and Injuries: Chronic gout",3
"Pulmonary and Pneumonias: COPD with acute exacerbation",3
"Other: Chronic heart failure with reduced ejection fraction (HFrEF",3
"MI",3
"Symptoms and Signs: Left-sided weakness",3
"13",3
"not on chronic dialysis",3
"Bladder wall thickening",3
"Intestinal malabsorption (HHS-HCC)",3
"Genitourinary and Reproductive: Benign non-nodular prostatic hyperplasia with lower urinary tract symptoms",3
"Acute combined systolic and diastolic CHF",3
"NYHA class 1",3
"Eye: Dermatochalasis",3
"Family History: Hospital discharge follow-up",3
"Hematology and Neoplasia: Hx of skin cancer",3
"Fall from standing",3
"Lacunar infarction",3
"Tachycardia-bradycardia syndrome",3
"Sinoatrial node dysfunction",3
"Nuclear sclerosis of left eye",3
"Menopausal and female climacteric states",3
"class 1",3
"Macular RPE mottling",3
"Musculoskeletal and Injuries: Foot pain",3
"Atherosclerosis of arteries of extremities",3
"Malignant neoplasm of kidney",3
"not specified as traumatic",3
"Amblyopia",3
"Osteoarthritis of both hips",3
"Decreased libido",3
"Hematology and Neoplasia: Macrocytosis",3
"Endocrine and Metabolic: Class 2 severe obesity due to excess calories with serious comorbidity and body mass index (BMI) of 35.0 to 35.9 in adult",3
"Cardiac and Vasculature: Non-ST elevation (NSTEMI) myocardial infarction",3
"Myopia with astigmatism and presbyopia",3
"Bilateral leg pain",3
"Right hemiparesis",3
"Cardiac and Vasculature: High triglycerides",3
"Neuro: History of lumbar fusion",3
"Hypertensive retinopathy of both eyes",3
"Enlarged prostate with urinary obstruction",3
"ENT: Hearing disorder",3
"Primary open angle glaucoma of left eye",3
"Endocrine and Metabolic: Class 3 severe obesity due to excess calories with body mass index (BMI) of 50.0 to 59.9 in adult (CMS-HCC)",3
"P thyroidectomy",3
"Adult BMI <19 kg",3
"External hemorrhoids without complication",3
"Gastrointestinal and Abdominal: Heart burn",3
"Lactose intolerance",3
"Musculoskeletal and Injuries: Dupuytren's contracture",3
"Polyarthralgia",3
"Rotator cuff tear",3
"Hypertensive heart failure",3
"Infectious Disease: Cellulitis of left lower limb",3
"Malnutrition (HHS-HCC)",3
"Renal stone",3
"Skin: Viral warts",3
"History of mechanical aortic valve replacement",3
"Infectious Disease: Sepsis without acute organ dysfunction",3
"HOCM (hypertrophic obstructive cardiomyopathy)",3
"Vaginitis",3
"Infectious Disease: Herpes",3
"Hematology and Neoplasia: Malignant neoplastic disease",3
"Neuro: Transient ischemic attack",3
"Cardiac and Vasculature: Aortic aneurysm",3
"Cardiac and Vasculature: Chronic diastolic CHF (congestive heart failure)",3
"Hypertension goal BP (blood pressure) < 130",3
"Other: Foreign body in conjunctival sac",3
"BRBPR (bright red blood per rectum)",3
"Mental Health: Substance abuse (CMS-HCC)",3
"Musculoskeletal and Injuries: Idiopathic chronic gout of multiple sites without tophus",3
"depressed",3
"History of palpitations",3
"Benign neoplasm of cecum",3
"Decreased cardiac ejection fraction",3
"Advance Directives and Health Issues: Goals of care",3
"Rectal pain",3
"Advanced age",3
"Normal anion gap metabolic acidosis",3
"Musculoskeletal and Injuries: Osteoarthritis of right shoulder",3
"Other: Alzheimer dementia (CMS-HCC)",3
"Genitourinary and Reproductive: Urinary tract infection with hematuria",3
"History of recurrent UTIs",3
"Endocrine and Metabolic: Hypoglycemia",3
"Primary osteoarthritis of both shoulders",3
"Pain in left shoulder",3
"Symptoms and Signs: Axillary mass",3
"Cardiac and Vasculature: Benign hypertension with stage 3a chronic kidney disease (CMS-HCC)",3
"Clotting disorder (HHS-HCC)",3
"midfoot",3
"Symptoms and Signs: Right sided weakness",3
"Calcific tendinitis of left shoulder",3
"Family History: Nutritional assessment",3
"Allergies and Adverse Reactions: Adverse reaction to ACE-I (angiotensin-converting enzyme inhibitor)",3
"Paroxysmal atrial fibrillation S",3
"Eye: Vitreous syneresis of both eyes",3
"Cardiac and Vasculature: Raynaud's phenomenon without gangrene",3
"Pancreatic mass (HHS-HCC)",3
"Acute pancreatitis (HHS-HCC)",3
"Skin: Lichen simplex chronicus",3
"Eye: Allergic conjunctivitis of both eyes",3
"Cardiac and Vasculature: Nonrheumatic tricuspid valve regurgitation",3
"Multi System Lupus Sarcoid: CREST syndrome",3
"Neuro: Status post cervical spinal fusion",3
"Genitourinary and Reproductive: Uterovaginal prolapse",3
"incomplete",3
"Enlarged prostate with lower urinary tract symptoms (LUTS)",3
"Eye: Family history of glaucoma",3
"Ocular hypertension",3
"Skin: Hidradenitis",3
"Nuclear senile cataract of both eyes",3
"Coag and Thromboembolic: Pulmonary embolism without acute cor pulmonale",3
"Ventral incisional hernia",3
"Infectious Disease: Lyme disease",3
"Renal artery aneurysm (CMS-hcc)",3
"Perirectal abscess",3
"Angina",3
"Retained orthopedic hardware",3
"Pain in joint involving ankle and foot",3
"Eye: Myopia with astigmatism and presbyopia",3
"Vitreous syneresis of right eye",3
"Gastrointestinal and Abdominal: Epigastric abdominal pain",3
"unspecified pancreatitis type (HHS-HCC)",3
"Hematology and Neoplasia: Mediastinal mass",3
"Hallux rigidus",3
"Exostosis",3
"Transient global amnesia",3
"ENT: Meniere disease",3
"Hepatic cyst",3
"Prolonged Q-T interval on ECG",3
"Genitourinary and Reproductive: Recurrent nephrolithiasis",3
"Right leg pain",3
"Impaired functional mobility",3
"balance",3
"gait",3
"and endurance",3
"Abnormal cardiac function test",3
"Chronic right hip pain",3
"Atherosclerosis of native coronary artery with angina pectoris",3
"Gastrointestinal and Abdominal: History of GI bleed",3
"Intracranial aneurysm (HHS-HCC)",3
"Infectious Disease: Refused influenza vaccine",3
"Type 2 diabetes mellitus with stage 3 chronic kidney disease",3
"Endocrine and Metabolic: Class 1 obesity due to excess calories with serious comorbidity and body mass index (BMI) of 30.0 to 30.9 in adult",3
"Osteoarthritis of left hand",3
"Primary localized osteoarthritis of pelvic region and thigh",3
"Endocrine and Metabolic: IFG (impaired fasting glucose)",3
"Hematology and Neoplasia: History of uterine cancer",3
"First degree heart block",3
"Varicose veins of leg with edema",3
"Bunion of great toe of right foot",3
"Chronic headache disorder",3
"Coag and Thromboembolic: Anticoagulated on Coumadin",3
"Map-dot-fingerprint corneal dystrophy",3
"Retinal disorder",3
"Pain in left hip",3
"Transient ischemic attack",3
"Tendonitis",3
"Hematology and Neoplasia: Malignant neoplasm of skin",3
"Ocular migraine",3
"Eye: Posterior vitreous detachment of left eye",3
"Genitourinary and Reproductive: History of hematuria",3
"Family History: Driver's permit PE (physical examination)",3
"Skin: Seborrheic keratoses",3
"Chest pressure",3
"Coag and Thromboembolic: History of deep vein thrombosis (DVT) of lower extremity",3
"Supraventricular premature beats",3
"Status post left foot surgery",3
"Left carotid bruit",3
"Left carpal tunnel syndrome",3
"Hematology and Neoplasia: History of squamous cell carcinoma of skin",3
"Endocrine and Metabolic: Abnormal glucose level",3
"Left flank pain",3
"Chronic renal insufficiency",3
"History of coronary artery bypass surgery",3
"ENT: At risk for hearing loss",3
"Elevated liver function tests",3
"Elevated transaminase level",3
"Skin: Skin rash",3
"Autonomic dysfunction",3
"Mixed conductive and sensorineural hearing loss",3
"Eye: Myopia of both eyes",3
"Musculoskeletal and Injuries: Acquired trigger finger",3
"Hematology and Neoplasia: Malignant neoplasm of thyroid gland",3
"Musculoskeletal and Injuries: Equinus contracture of right ankle",3
