token,matched_cause,icd_code,match_method,method,notes
Cerebellopontine angle tumor,,,none,,
Cerebral aneurysm (HHS-HCC),,,none,,
Cerebral aneurysm without rupture (HHS-HCC),,,none,,
Cerebral arterial aneurysm (HHS-HCC)- F,,,none,,
Cerebral atherosclerosis,,,none,,
Cerebral atrophy (CMS-hcc),,,none,,
Cerebral atrophy (CMS-hcc) seen on ct brain 3,,,none,,
Cerebral edema,,,none,,
Cerebral infarction,,,none,,
Cerebral infarction due to occlusion of carotid artery,,,none,,
Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery,,,none,,
Cerebral microvascular disease,,,none,,
Cerebral palsy,,,none,,
Cerebral ventriculomegaly,,,none,,
cerebrovascular,,,none,,
Cerebrovascular accident,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA),Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to bilateral occlusion of vertebral arteries,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to embolism,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to embolism of cerebral artery,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to embolism of left middle cerebral artery,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to embolism of left posterior cerebral artery,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to embolism of precerebral artery,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to occlusion of cerebral artery,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to occlusion of right posterior cerebral artery,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to stenosis of right middle cerebral artery,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to stenosis of small artery,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to thrombosis,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident (CVA) due to thrombosis of right vertebral artery,Cerebrovascular Accident,I63,cause_name,,
Cerebrovascular accident aborted by administration of thrombolytic agent,Cerebrovascular Accident,I63,cause_name,,
cerebrovascular disease,,,none,,
Cerumen impaction,,,none,,
cervical,,,none,,
Cervical cancer,,,none,,
Cervical cancer screening,,,none,,
Cervical cord compression with myelopathy,,,none,,
Cervical cord compression with myelopathy -severe C5-7,,,none,,
Cervical disc disease,,,none,,
Cervical disc disorder at C4-C5 level with radiculopathy,,,none,,
Cervical disc disorder at C5-C6 level with radiculopathy,,,none,,
Cervical disc disorder at C6-C7 level with radiculopathy,,,none,,
Cervical disc disorder with radiculopathy,,,none,,
Cervical disc disorder with radiculopathy of cervical region,,,none,,
Cervical lymphadenopathy,,,none,,
Cervical muscle strain,,,none,,
Cervical myelopathy,,,none,,
Cervical myelopathy with cervical radiculopathy,,,none,,
Cervical pain,,,none,,
Cervical pain (neck),,,none,,
Cervical radiculitis,,,none,,
Cervical radiculopathy,,,none,,
Cervical radiculopathy at C5,,,none,,
Cervical radiculopathy at C5 left,,,none,,
Cervical radiculopathy at C6,,,none,,
Cervical radiculopathy at C8,,,none,,
Cervical radiculopathy due to degenerative joint disease of spine,,,none,,
cervical region,,,none,,
Cervical spinal cord compression,,,none,,
Cervical spinal stenosis,,,none,,
Cervical spinal stenosis (s,,,none,,
cervical spine,,,none,,
Cervical spine fracture,,,none,,
Cervical spo...,,,none,,
Cervical spondylitic cord compression,,,none,,
Cervical spondylolysis,,,none,,
Cervical spondylosis,,,none,,
Cervical spondylosis with myelopathy,,,none,,
Cervical spondylosis with radiculopathy,,,none,,
Cervical spondylosis without myelopathy,,,none,,
Cervical stenosis of spinal canal,,,none,,
Cervical stenosis of spine,,,none,,
Cervical strain,,,none,,
Cervical syndrome,,,none,,
Cervical vertebral fusion,,,none,,
Cervicalgia,,,none,,
Cervicalgia of occipito-atlanto-axial region,,,none,,
Cervico-occipital neuralgia,,,none,,
Cervico-occipital neuralgia of left side,,,none,,
Cervicogenic headache,,,none,,
Chalazion of left lower eyelid,,,none,,
Chalazion of left upper eyelid,,,none,,
Chalazion of right lower eyelid,,,none,,
Chalazion of right upper eyelid,,,none,,
Chalazion right upper eyelid,,,none,,
Change in bowel function,,,none,,
Change in bowel habit,,,none,,
Change in bowel habits,,,none,,
Charcot foot due to diabetes mellitus,,,none,,
Charcot joint of right foot,,,none,,
Charcot's joint of ankle,,,none,,
Charcot's joint of foot,,,none,,
Charcot's joint of right foot,,,none,,
CHB (complete heart block),,,none,,
Chemotherapy follow-up examination,,,none,,
Chemotherapy induced nausea and vomiting,,,none,,
Chemotherapy-induced neuropathy (HHS-HCC),,,none,,
Cherry angioma,,,none,,
chest,,,none,,
Chest discomfort,,,none,,
Chest heaviness,,,none,,
Chest pain,Coronary Artery Disease,I25,none,llm,symptom (mapped cautiously)
Chest pain [history of coronary artery disease),Coronary Artery Disease,I25,cause_name,,
Chest pain at rest,,,none,,
Chest pain due to CAD,,,none,,
Chest pain due to myocardial ischemia,,,none,,
Chest pain in adult,,,none,,
Chest pain of uncertain etiology,,,none,,
Chest pain of unknown etiology,,,none,,
Chest pain on breathing,,,none,,
Chest pain radiating to arm,,,none,,
Chest pain unspecified,,,none,,
Chest pain with high risk for cardiac etiology,,,none,,
Chest pain with high risk of acute coronary syndrome,,,none,,
Chest Pain with typical and atypical features,,,none,,
Chest pain.pressure,,,none,,
Chest pressure,,,none,,
Chest tightness,,,none,,
chest wall,,,none,,
Chest wall contusion,,,none,,
Chest wall pain,,,none,,
Chest wall tenderness,,,none,,
chest wall with complication,,,none,,
Chest x-ray abnormality,,,none,,
CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
CHF exacerbation,,,none,,
CHF NYHA class II,,,none,,
CHF NYHA class II (symptoms with moderately strenuous activities),,,none,,
CHF NYHA class IV (symptoms with any physical activity and at rest),,,none,,
CHF with cardiomyopathy,,,none,,
CHF with left ventricular diastolic dysfunction,,,none,,
CHF with unknown LVEF,,,none,,
CHFpEF 55%,,,none,,
CHI (closed head injury),,,none,,
Chiari network (HHS-HCC),,,none,,
Cholangiocarcinoma,,,none,,
Cholangitis (CMS-HCC),,,none,,
Cholecystitis,,,none,,
Choledochal cyst,,,none,,
Choledocholithiasis,,,none,,
Choledocholithiasis with acute cholecystitis with obstruction,,,none,,
Choledocholithiasis with obstruction,,,none,,
Cholelithiasis,,,none,,
Cholelithiasis with choledocholithiasis,,,none,,
Cholelithiasis without cholecystitis,,,none,,
Cholelithiasis without obstruction,,,none,,
Cholesteatoma of attic of right ear,,,none,,
cholesterol of eye,,,none,,
Chondrocalcinosis,,,none,,
Chondrocalcinosis articularis,,,none,,
Chondrocalcinosis of knee,,,none,,
Chondrocalcinosis of right knee,,,none,,
Chondrodystrophy (HHS-HCC),,,none,,
Chondromalacia,,,none,,
Chondromalacia of knee,,,none,,
Chondromalacia of left knee,,,none,,
Chondromalacia of patella,,,none,,
Chondromalacia of right knee,,,none,,
Chondromalacia of right patella,,,none,,
Chondromalacia patellae of left knee,,,none,,
Chondromalacia patellae of right knee,,,none,,
Choroidal dystrophy (central areolar) (generalized) (peripapillary),,,none,,
Choroidal neovascularization of left eye,,,none,,
Choroidal nevus,,,none,,
Choroidal nevus of left eye,,,none,,
Choroidal nevus of right eye,,,none,,
Choroioretinal scar of left eye,,,none,,
Chr...,,,none,,
Chromosomal and Congenital Misc: Birt-Hogg-Dube syndrome (HHS-HCC),,,none,,
Chromosomal and Congenital Misc: Cold-induced sweating syndrome (HHS-HCC),,,none,,
Chromosomal and Congenital Misc: Down's syndrome (HHS-HCC),,,none,,
Chromosomal and Congenital Misc: Duanes syndrome,,,none,,
Chromosomal and Congenital Misc: Genetic testing,,,none,,
Chromosomal and Congenital Misc: Hemochromatosis carrier,,,none,,
Chromosomal and Congenital Misc: Heterozygous for MTHFR gene mutation,,,none,,
Chromosomal and Congenital Misc: Holt-Oram syndrome (HHS-HCC),,,none,,
Chromosomal and Congenital Misc: JAK-2 gene mutation,,,none,,
Chromosomal and Congenital Misc: MTHFR gene mutation,,,none,,
Chromosomal and Congenital Misc: MTHFR mutation,,,none,,
Chromosomal and Congenital Misc: MTHFR mutation - watches homocysteine,,,none,,
Chromosomal and Congenital Misc: Negative genetic testing for familial Lynch Syndrome (MSH2),,,none,,
Chromosomal and Congenital Misc: pathogenic mutation CHEK 2 gene per TEMPUS XG 88 gene panel,,,none,,
Chromosomal and Congenital Misc: SDHA gene variant of unknown significance,,,none,,
Chromosomal and Congenital Misc: Treacher Collins syndrome,,,none,,
Chromosomal and Congenital Misc: Turner syndrome (HHS-HCC),,,none,,
Chromosomal and Congenital Misc: Upward migration of dens,,,none,,
chronic,,,none,,
chronic (CMS-hcc),,,none,,
Chronic ...,,,none,,
Chronic a-fib,,,none,,
Chronic abdominal pain,,,none,,
Chronic acquired lymphedema,,,none,,
Chronic airflow obstruction,,,none,,
Chronic alcoholic liver disease (HHS-HCC),,,none,,
Chronic allergic conjunctivitis,,,none,,
Chronic allergic rhinitis,,,none,,
Chronic anemia,,,none,,
Chronic anterior uveitis of left eye,,,none,,
Chronic anticoagulation,,,none,,
Chronic anxiety,,,none,,
Chronic arthralgias of knees and hips,,,none,,
Chronic arthritis,,,none,,
Chronic atrial fibrillation,,,none,,
Chronic atrial fibrillation - Current use of long term anticoagulation,,,none,,
Chronic atrial fibrillation s,,,none,,
Chronic back pain,,,none,,
Chronic back pain greater than 3 mont...,,,none,,
Chronic back pain greater than 3 months duration,,,none,,
Chronic back pain with chronic opioid use,,,none,,
Chronic benign neutropenia (CMS-hcc),,,none,,
Chronic bilateral back pain,,,none,,
Chronic bilateral low back pain,,,none,,
Chronic bilateral low back pain with ...,,,none,,
Chronic bilateral low back pain with bilateral sciatica,,,none,,
Chronic bilateral low back pain with left-sided sciatica,,,none,,
Chronic bilateral low back pain with right-sided sciatica,,,none,,
Chronic bilateral low back pain with sciatica,,,none,,
Chronic bilateral low back pain without sciatica,,,none,,
Chronic biliary pancreatitis,,,none,,
Chronic blood loss anemia,,,none,,
Chronic bronchitis,Chronic Bronchitis,J42,cause_name,,
Chronic bronchitis (CMS-hcc),Chronic Bronchitis,J42,cause_name,,
Chronic cerebral ischemia,,,none,,
Chronic cervical pain,,,none,,
Chronic cholecystitis,,,none,,
Chronic cholecystitis with calculus,,,none,,
Chronic combined systolic (congestive) and diastolic (congestive) heart failure,,,none,,
Chronic combined systolic and diastolic CHF,,,none,,
Chronic combined systolic and diastolic CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Chronic combined systolic and diastolic congestive heart failure,,,none,,
Chronic combined systolic and diastolic heart failure,,,none,,
Chronic combined systolic and diastolic heart failure with midrange EF of 45%,,,none,,
Chronic compression fractures of thoracic & lumbar vertebra with delayed healing,,,none,,
Chronic congestive heart failure,,,none,,
Chronic congestive heart failure with improved ejection fraction,,,none,,
Chronic congestive heart failure with left ventricular diastolic dysfunction,,,none,,
Chronic constipation,,,none,,
Chronic coronary artery disease,Coronary Artery Disease,I25,cause_name,,
Chronic cough,,,none,,
Chronic cystitis,,,none,,
Chronic cystitis without hematuria,,,none,,
Chronic deep vein thrombosis (DVT),,,none,,
Chronic deep vein thrombosis (DVT) of brachial vein of left upper extremity,,,none,,
Chronic deep vein thrombosis (DVT) of distal vein of both lower extremities,,,none,,
Chronic deep vein thrombosis (DVT) of distal vein of left lower extremity,,,none,,
Chronic deep vein thrombosis (DVT) of left lower extremity,,,none,,
Chronic deep vein thrombosis (DVT) of popliteal vein of right lower extremity,,,none,,
Chronic deep vein thrombosis (DVT) of proximal vein of both lower extremities,,,none,,
Chronic deep vein thrombosis (DVT) of proximal vein of left lower extremity,,,none,,
Chronic deep vein thrombosis (DVT) of proximal vein of right lower extremity,,,none,,
Chronic deep vein thrombosis (DVT) of right femoral vein,,,none,,
Chronic deep vein thrombosis of both femoral veins,,,none,,
chronic diarrhea,,,none,,
Chronic diastolic (congestive) heart failure,,,none,,
Chronic diastolic CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Chronic diastolic congestive heart failure,,,none,,
Chronic diastolic heart failure,Congestive Heart Failure,I50,none,llm,
Chronic diastolic heart failure due to hypertrophic obstructive cardiomyopathy,,,none,,
Chronic diastolic HF (heart failure),,,none,,
Chronic distal aortic occlusion,,,none,,
Chronic dyspnea,Dyspnea,R06.09,cause_name,,
Chronic erosive gastritis,,,none,,
Chronic ethmoidal sinusitis,,,none,,
Chronic fatigue,,,none,,
Chronic fatigue syndrome,,,none,,
Chronic foot ulcer,,,none,,
Chronic Footdrop,,,none,,
Chronic frontal sinusitis,,,none,,
Chronic gastric ulcer,,,none,,
Chronic gastritis,,,none,,
Chronic gastritis without bleeding,,,none,,
Chronic GERD,,,none,,
Chronic GI bleeding,,,none,,
Chronic gout,,,none,,
Chronic gout involving toe of right foot without tophus,,,none,,
Chronic gout of foot,,,none,,
Chronic gout of right foot due to renal impairment with tophus,,,none,,
Chronic gout without tophus,,,none,,
Chronic gouty arthritis,,,none,,
Chronic gouty arthropathy with tophus (tophi) right 3 rd PIP,,,none,,
Chronic heart failure,,,none,,
Chronic heart failure with mildly reduced EF,,,none,,
Chronic heart failure with mildly reduced ejection fraction (HFmrEF,,,none,,
Chronic heart failure with preserved ejection fraction,,,none,,
Chronic heart failure with preserved ejection fraction (EF 55-60%),,,none,,
Chronic heart failure with preserved ejection fraction (HFpEF),,,none,,
Chronic Heart failure with recovered ejection fraction (HFrecEF) (CMS-hcc),,,none,,
Chronic heart failure with reduced ejection fraction,,,none,,
Chronic hepatitis C virus infection,,,none,,
Chronic hepatitis C without hepatic coma,,,none,,
Chronic HFpEF,,,none,,
Chronic HFrEF (heart failure with reduced ejection fraction),,,none,,
Chronic hip pain,,,none,,
Chronic hoarseness,,,none,,
Chronic hyperglycemia,,,none,,
Chronic hypertrophic rhinitis,,,none,,
Chronic Hypomagnesemia,,,none,,
Chronic hyponatremia,,,none,,
Chronic hypotension,Hypotension,I95,cause_name,,
Chronic hypoxemic respiratory failure,Respiratory Failure,J96.1,cause_name,,
Chronic idiopathic constipation,,,none,,
Chronic idiopathic gout involving toe of left foot without tophus,,,none,,
Chronic idiopathic gout involving toe of right foot with tophus,,,none,,
Chronic idiopathic gout of left foot,,,none,,
Chronic idiopathic gout of multiple sites,,,none,,
Chronic idiopathic thrombocytopenia,,,none,,
Chronic indwelling Foley catheter,,,none,,
Chronic inflammatory arthritis ?pseudogout,,,none,,
Chronic insomnia,,,none,,
Chronic intractable headache,,,none,,
Chronic ischemic heart disease,,,none,,
Chronic joint pain,,,none,,
Chronic kidney disease,Chronic Kidney,N18,cause_name,,
Chronic kidney disease (CKD),Chronic Kidney,N18,cause_name,,
Chronic kidney disease (CKD) stage G3b,Chronic Kidney,N18,cause_name,,
Chronic kidney disease (CKD) stage G4,Chronic Kidney,N18,cause_name,,
Chronic kidney disease due to hypertension,Chronic Kidney,N18,cause_name,,
Chronic kidney disease due to type 2 diabetes mellitus,Chronic Kidney,N18,cause_name,,
Chronic kidney disease on chronic dialysis,Chronic Kidney,N18,cause_name,,
Chronic kidney injury  (CMS-hcc),Chronic Kidney,N18,cause_name,,
Chronic large granular lymphocytic leukemia,,,none,,
chronic left,,,none,,
Chronic left hip pain,,,none,,
Chronic left sacroiliac joint pain,,,none,,
Chronic left shoulder pain,,,none,,
Chronic left shoulder pain ( posterior),,,none,,
Chronic left SI joint pain,,,none,,
Chronic left-sided low back pain,,,none,,
Chronic left-sided low back pain with left-sided sciatica,,,none,,
Chronic left-sided low back pain with sciatica,,,none,,
Chronic left-sided low back pain without sciatica,,,none,,
Chronic left-sided thoracic back pain,,,none,,
Chronic leg pain,,,none,,
Chronic low back pain,,,none,,
Chronic low back pain with bilateral sciatica,,,none,,
Chronic low back pain with sciatica,,,none,,
Chronic low back pain without sciatica,,,none,,
Chronic low blood pressure,,,none,,
Chronic lower gastrointestinal bleeding,,,none,,
Chronic lung disease,,,none,,
Chronic lymphocytic leukemia (CLL),,,none,,
Chronic lymphocytic thyroiditis,,,none,,
Chronic maxillary sinusitis,,,none,,
Chronic mesenteric ischemia (HHS-HCC),,,none,,
Chronic midline low back pain with bilateral sciatica,,,none,,
Chronic midline low back pain with sciatica,,,none,,
Chronic midline low back pain without sciatica,,,none,,
Chronic midline thoracic back pain,,,none,,
Chronic migraine,,,none,,
Chronic migraine without aura without status migrainosus,,,none,,
Chronic musculoskeletal pain,,,none,,
Chronic narcotic use,,,none,,
Chronic nausea,,,none,,
Chronic neck and back pain,,,none,,
Chronic neck pain,,,none,,
Chronic neutrophilia,,,none,,
Chronic Non-Ischemic Myocardial injury,,,none,,
Chronic nonalcoholic liver disease,,,none,,
Chronic nonallergic rhinitis,,,none,,
Chronic nonseasonal allergic rhinitis due to pollen,,,none,,
Chronic normocytic anemia,,,none,,
Chronic o...,,,none,,
Chronic obstructive lung disease,,,none,,
Chronic obstructive pulmonary disease,COPD,J44.9,none,llm,duplicate
Chronic obstructive pulmonary disease with (acute) exacerbation,,,none,,
Chronic obstructive pulmonary disease with acute exacerbation,,,none,,
Chronic obstructive pulmonary disease with acute lower respiratory infection,,,none,,
Chronic obstructive pulmonary disease with emphysema,Emphysema ,J43.9,cause_name,,
Chronic osteoarthritis,,,none,,
Chronic osteomyelitis involving ankle and foot,,,none,,
Chronic osteomyelitis involving lower leg,,,none,,
Chronic osteomyelitis of ankle and foot,,,none,,
Chronic osteomyelitis of left elbow,,,none,,
Chronic osteomyelitis of left lower leg,,,none,,
Chronic osteomyelitis of metatarsal bone of right foot,,,none,,
Chronic pa...,,,none,,
Chronic pain,,,none,,
Chronic pain associated with significant psychosocial dysfunction,,,none,,
Chronic pain disorder,,,none,,
Chronic pain disorder start talking done 6,,,none,,
Chronic pain in right foot,,,none,,
Chronic pain of both ankles,,,none,,
Chronic pain of both hips,,,none,,
Chronic pain of both knees,,,none,,
Chronic pain of both knees and feet,,,none,,
Chronic pain of both shoulders,,,none,,
Chronic pain of left ankle,,,none,,
Chronic pain of left knee,,,none,,
Chronic pain of left knee deg oa,,,none,,
Chronic pain of left lower extremity,,,none,,
Chronic pain of left thumb,,,none,,
Chronic pain of right ankle,,,none,,
Chronic pain of right hand,,,none,,
Chronic pain of right hip,,,none,,
Chronic pain of right inguinal region,,,none,,
Chronic pain of right knee,,,none,,
Chronic pain syndrome,,,none,,
Chronic painful diabetic neuropathy,,,none,,
Chronic pancolonic ulcerative colitis,,,none,,
Chronic pancreatitis,,,none,,
Chronic pansinusitis,,,none,,
Chronic paronychia of left thumb,,,none,,
Chronic parotitis,,,none,,
Chronic pelvic pain in female,,,none,,
chronic pelvic pain syndrome,,,none,,
Chronic pericarditis (HHS-HCC),,,none,,
chronic peridontal disease,,,none,,
Chronic peripheral neuropathic pain,,,none,,
Chronic peripheral venous hypertension,,,none,,
Chronic post-traumatic stress disorder,,,none,,
Chronic prescription opiate use,,,none,,
Chronic prolonged Q-T interval on ECG,,,none,,
Chronic radiation cystitis,,,none,,
Chronic recurrent pancreatitis,,,none,,
Chronic recurrent sinusitis,,,none,,
Chronic rejection of allograft lung,,,none,,
chronic renal failure,,,none,,
Chronic renal impairment,,,none,,
Chronic respiratory failure,Respiratory Failure,J96.1,cause_name,,
Chronic respiratory failure with hypoxia,Respiratory Failure,J96.1,cause_name,,
Chronic retention of urine,,,none,,
Chronic rhinitis,,,none,,
Chronic right flank pain,,,none,,
Chronic right hip pa...,,,none,,
Chronic right hip pain,,,none,,
Chronic right shoulder pain,,,none,,
Chronic right-sided and diastolic congestive heart failure (CMS-hcc),,,none,,
Chronic right-sided back pain,,,none,,
Chronic right-sided congestive heart failure,,,none,,
Chronic right-sided heart failure,,,none,,
Chronic right-sided low back pain with right-sided sciatica,,,none,,
Chronic right-sided low back pain without sciatica,,,none,,
Chronic right-sided lumbar radiculopathy,,,none,,
Chronic right-sided thoracic back pain,,,none,,
chronic RV lead on advisory with findings of fracture S,,,none,,
Chronic serous otitis media of right ear,,,none,,
Chronic sinus bradycardia,,,none,,
Chronic sinusitis,,,none,,
Chronic sinusitis of both maxillary sinuses,,,none,,
Chronic stable angina,,,none,,
Chronic subdural hematoma,,,none,,
Chronic superficial gastritis without bleeding,,,none,,
Chronic systolic (congestive) heart failure,,,none,,
Chronic systolic CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Chronic systolic congestive heart failure,,,none,,
chronic systolic due to ischemic cardiomyopathy (CMS-hcc),,,none,,
Chronic systolic dysfunction of left ventricle,,,none,,
Chronic systolic heart failure,Congestive Heart Failure,I50,none,llm,
Chronic systolic heart failure (CMS-hcc),,,none,,
Chronic systolic HF (heart failure),,,none,,
Chronic tension-type headache,,,none,,
Chronic thoracic and lumbosacral back pain,,,none,,
Chronic throat pain,,,none,,
Chronic tophaceous gout,,,none,,
Chronic total occlusion of coronary artery,,,none,,
Chronic ulcer of left leg with fat layer exposed,,,none,,
Chronic use of benzodiazepine for therapeutic purpose,,,none,,
Chronic UTI,,,none,,
Chronic vaginitis,,,none,,
Chronic venous insufficiency,,,none,,
Chronic venous insufficiency of lower extremity,,,none,,
Chronic venous stasis,,,none,,
Chronic venous stasis dermatitis of both lower extremities,,,none,,
Chronic vulvitis,,,none,,
Chronically positive stress ECG,,,none,,
Chronotropic incompetence,,,none,,
Chylomicronemia syndrome,,,none,,
CIDP (chronic inflammatory demyelinating polyneuropathy),,,none,,
Cigarette nicotine dependence with nicotine-induced disorder,,,none,,
Cigarette nicotine dependence without complication,,,none,,
Cigarette smoker,,,none,,
cigarettes,,,none,,
circulatory system,,,none,,
Cirrhosis,,,none,,
Cirrhosis of liver,,,none,,
Cirrhosis of liver with ascites,,,none,,
Cirrhosis of liver without ascites,,,none,,
Cirrhotic morphology of liver on imaging,,,none,,
CKD,,,none,,
CKD (chronic kidney disease),Chronic Kidney,N18,cause_name,,
CKD (chronic kidney disease) stage 2,Chronic Kidney,N18,cause_name,,
CKD (chronic kidney disease) stage 3,Chronic Kidney,N18,cause_name,,
CKD (chronic kidney disease) stage 4,Chronic Kidney,N18,cause_name,,
CKD (chronic kidney disease) stage 5,Chronic Kidney,N18,cause_name,,
CKD 3b,,,none,,
CKD III,,,none,,
CKD stage 3 due to type 2 diabetes mellitus,Type 2 Diabetes,E11.2,cause_name,,
CKD stage 3a,,,none,,
CKD stage G2,,,none,,
CKD stage G3b,,,none,,
CKD2,,,none,,
CKD3,,,none,,
CKD3a,,,none,,
CKD3a & HTN,,,none,,
class 1,,,none,,
Class 1 obesity,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories with body mass index (BMI) of 31.0 to 31.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories with body mass index (BMI) of 33.0 to 33.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories with serious comorbidity and body mass index (BMI) of 30.0 to 30.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories with serious comorbidity and body mass index (BMI) of 31.0 to 31.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories with serious comorbidity and body mass index (BMI) of 32.0 to 32.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories with serious comorbidity and body mass index (BMI) of 33.0 to 33.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories with serious comorbidity and body mass index (BMI) of 34.0 to 34.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories with serious comorbidity in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories without serious comorbidity in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories without serious comorbidity with body mass index (BMI) of 30.0 to 30.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories without serious comorbidity with body mass index (BMI) of 31.0 to 31.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories without serious comorbidity with body mass index (BMI) of 32.0 to 32.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories without serious comorbidity with body mass index (BMI) of 33.0 to 33.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity due to excess calories without serious comorbidity with body mass index (BMI) of 34.0 to 34.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity in adult,Obesity,E66,cause_name,,
Class 1 obesity with body mass index (BMI) of 30.0 to 30.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity with body mass index (BMI) of 31.0 to 31.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity with body mass index (BMI) of 33.0 to 33.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity with body mass index (BMI) of 34.0 to 34.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity with serious comorbidity and body mass index (BMI) of 31.0 to 31.9 in adult,Obesity,E66,cause_name,,
Class 1 obesity with serious comorbidity in adult,Obesity,E66,cause_name,,
class 2,2,Obesity,llm_suggested,,
Class 2 obesity,Obesity,E66,cause_name,,
Class 2 obesity due to excess calories in adult,Obesity,E66,cause_name,,
Class 2 obesity due to excess calories with body mass index (BMI) of 35.0 to 35.9 in adult,Obesity,E66,cause_name,,
Class 2 obesity due to excess calories with body mass index (BMI) of 36.0 to 36.9 in adult,Obesity,E66,cause_name,,
Class 2 obesity due to excess calories with body mass index (BMI) of 37.0 to 37.9 in adult,Obesity,E66,cause_name,,
Class 2 obesity due to excess calories without serious comorbidity in adult,Obesity,E66,cause_name,,
Class 2 obesity due to excess calories without serious comorbidity with body mass index (BMI) of 36.0 to 36.9 in adult,Obesity,E66,cause_name,,
Class 2 obesity in adult,Obesity,E66,cause_name,,
Class 2 obesity with body mass index (BMI) of 35.0 to 35.9 in adult,Obesity,E66,cause_name,,
Class 2 obesity with body mass index (BMI) of 37.0 to 37.9 in adult,Obesity,E66,cause_name,,
Class 2 obesity with body mass index (BMI) of 39.0 to 39.9 in adult,Obesity,E66,cause_name,,
Class 2 severe obesity due to excess calories with serious comorbidity and body mass index (BMI) of 35.0 to 35.9 in adult,Obesity,E66,cause_name,,
Class 2 severe obesity due to excess calories with serious comorbidity and body mass index (BMI) of 36.0 to 36.9 in adult,Obesity,E66,cause_name,,
Class 2 severe obesity due to excess calories with serious comorbidity and body mass index (BMI) of 37.0 to 37.9 in adult,Obesity,E66,cause_name,,
Class 2 severe obesity due to excess calories with serious comorbidity and body mass index (BMI) of 38.0 to 38.9 in adult,Obesity,E66,cause_name,,
Class 2 severe obesity due to excess calories with serious comorbidity and body mass index (BMI) of 39.0 to 39.9 in adult,Obesity,E66,cause_name,,
Class 2 severe obesity due to excess calories with serious comorbidity in adult,Obesity,E66,cause_name,,
Class 2 severe obesity with serious comorbidity and body mass index (BMI) of 35.0 to 35.9 in adult,Obesity,E66,cause_name,,
Class 2 severe obesity with serious comorbidity and body mass index (BMI) of 36.0 to 36.9 in adult,Obesity,E66,cause_name,,
Class 2 severe obesity with serious comorbidity and body mass index (BMI) of 37.0 to 37.9 in adult,Obesity,E66,cause_name,,
Class 2 severe obesity with serious comorbidity and body mass index (BMI) of 38.0 to 38.9 in adult,Obesity,E66,cause_name,,
Class 3 obesity (CMS-HCC),Obesity,E66,cause_name,,
Class 3 obesity with serious comorbidity and body mass index (BMI) of 40.0 to 44.9 in adult,Obesity,E66,cause_name,,
Class 3 severe obesity due to excess calories with body mass index (BMI) of 40.0 to 44.9 in adult (CMS-HCC),Obesity,E66,cause_name,,
Class 3 severe obesity due to excess calories with body mass index (BMI) of 45.0 to 49.9 in adult (CMS-HCC),Obesity,E66,cause_name,,
Class 3 severe obesity due to excess calories with serious comorbidity and body mass index (BMI) of 40.0 to 44.9 in adult (CMS-HCC),Obesity,E66,cause_name,,
